name,t1,t2,rating
Næsten det pæneste vi kan diske op med,03:18,03:34,8
sin(0) er faktisk 0,05:22,05:28,7
The Spirit of an Elite University,12:10,12:20,9
Vi sidder på en øde ø med sinus til en halv,12:21,12:39,10
Nede i den Lokale Brugs med sinus til en halv,15:24,15:47,10
Så meget ved jeg om cosinus,16:55,17:11,7
Det har jeg engang regnet ud,17:36,18:25,10
Med hjernen,20:55,21:11,9
Det skader jo aldrig,21:27,21:38,7
Lommeregneren fra før de seneste krige,21:41,21:56,9
Det påstår min lommeregner,22:29,22:33,8
Sinus til en halv med lommeregner,22:46,23:01,8
Helt almindelig ællebælleregning ,23:16,23:49,10
Nummerering 2,26:13,26:43,5
Og sådan er det - man skal bare huske hvad det er,28:12,28:17,6
Held og lykke i den virkelige verden,35:38,35:44,6
