name,t1,t2,rating
Placeholder,00:04,00:17,1
Placeholder,00:48,01:08,1
Placeholder,04:06,04:24,1
Placeholder,06:18,06:26,1
Placeholder,11:22,11:35,1
Placeholder,17:35,18:00,1
Placeholder,19:29,19:34,1
Placeholder,20:49,21:05,1
Placeholder,22:28,22:36,1
Placeholder,22:59,23:09,1
Placeholder,23:26,23:41,1
Placeholder,23:53,24:09,1
Placeholder,24:33,25:09,1
Placeholder,25:27,25:43,1
Placeholder,26:19,26:21,1
Placeholder,27:31,28:01,1
Placeholder,31:09,31:29,1
Placeholder,34:10,34:18,1
Placeholder,34:46,35:04,1
Placeholder,37:16,37:29,1
Placeholder,37:37,37:45,1
Placeholder,38:00,38:06,1
Placeholder,39:31,39:40,1
Placeholder,42:49,42:58,1
Placeholder,42:57,43:02,1
Placeholder,43:23,43:49,1
Placeholder,43:56,44:01,1
Placeholder,44:13,44:24,1
Placeholder,44:54,45:01,1
Placeholder,47:09,47:42,1
Placeholder,47:59,48:15,1
Placeholder,49:48,49:58,1
Placeholder,51:05,51:16,1
Placeholder,51:22,51:39,1
Placeholder,51:53,52:00,1
Placeholder,52:19,52:43,1
Placeholder,52:52,53:08,1
