name,t1,t2,rating
Placeholder,00:04,00:16,1
Placeholder,00:19,00:30,1
Placeholder,00:31,01:15,1
Placeholder,01:46,01:53,1
Placeholder,02:04,02:07,1
Placeholder,09:30,09:39,1
Placeholder,23:55,24:17,1
Placeholder,24:25,24:34,1
Placeholder,25:31,25:47,1
Placeholder,27:39,27:49,1
Placeholder,28:45,28:54,1
Placeholder,30:09,30:16,1
Placeholder,32:35,32:46,1
Placeholder,32:43,32:46,1
Placeholder,33:45,33:48,1
Placeholder,38:31,38:34,1
Placeholder,40:19,40:24,1
Placeholder,48:06,48:12,1
Placeholder,51:24,51:28,1
