name,t1,t2,rating
Placeholder,00:04,00:11,1
Placeholder,00:41,00:50,1
Placeholder,03:38,03:54,1
Placeholder,05:45,05:56,1
Placeholder,06:38,06:47,1
Placeholder,08:11,08:26,1
Placeholder,08:37,08:59,1
Placeholder,09:03,09:20,1
Placeholder,09:55,09:57,1
Placeholder,11:54,11:58,1
Placeholder,12:41,12:50,1
Placeholder,13:34,13:45,1
Placeholder,15:02,15:16,1
Placeholder,16:48,17:05,1
Placeholder,19:03,19:14,1
Placeholder,19:26,19:41,1
Placeholder,21:25,21:36,1
Placeholder,22:23,22:42,1
Placeholder,23:32,23:40,1
Placeholder,24:04,24:15,1
Placeholder,24:56,25:03,1
Placeholder,26:09,26:12,1
Placeholder,27:54,28:00,1
Placeholder,36:36,36:46,1
Placeholder,38:04,38:13,1
Placeholder,38:46,38:55,1
Placeholder,40:14,40:19,1
Placeholder,42:00,42:19,1
Placeholder,43:25,44:07,1
