name	t1	t2	rating
Siden I er her	00:03	00:21	7
Alle ting af interesse	00:55	01:03	5
Overraskende nok	01:32	01:40	4
Nord øst	02:05	02:30	7
Hvad skal vi lave	03:22	03:43	5
Fjorten	06:17	06:27	5
Færdighedsregning	07:29	07:48	5
Brøkregning	08:30	08:41	4
Holde kæft og snakke om komplekse tal	09:50	09:56	6
40 i feber og Matematik stream	10:10	10:40	6
Hvis ens forelæser er en nar	10:45	11:03	5
Tror på folk har fattet budskabet	13:57	14:10	7
Pythagoras, ik'?	18:56	19:15	7
Smart måde på Den Lokale Bodega	19:42	19:57	8
Og sådan er det	21:47	21:49	5
Ufatteligt grimt R	22:04	22:18	4
Ikke noget at ryste over	25:10	25:22	6
En syg multiplikation	25:45	26:15	6
En syg multiplikation 2	27:00	27:25	9
Discovery Channel	27:50	28:05	7
En enestående opdagelse	31:23	31:33	7
So far, so fedt	32:30	32:35	6
En mwhahaha-oplevelse	32:50	32:58	5
Den gange den	33:35	33:47	5
Det eneste man skal huske	35:34	36:02	9
Schwup - så kommer den herop	39:23	39:33	5
Det eneste man skal huske 2	41:33	41:46	8
