name,t1,t2,rating
Fucke op så mange gange,02:20,02:29,8
Det eneste man skal huske 3,02:59,03:13,8
Skal man gå på universitet?,03:25,03:35,8
Kan man bruge de her ting til noget,07:00,07:11,7
Færdigt arbejde,09:34,09:43,6
Spild af RAM,11:20,11:34,8
"Sådan dividerer man - lidt fedt, ik'?",15:30,15:44,6
Kaste op i lårtykke stråler,17:00,17:10,8
Hvordan i helvede skal man gøre det,17:21,17:26,8
Knækket kridt,17:42,17:45,5
Klasker sig på lårene af fryd - der kom lige en cirkel,23:27,23:47,8
Når man jo nu har den fremme,23:47,23:53,6
Pædagogisk farvet kridt,24:10,24:26,8
Utroligt hvad man kan her i verden uden kridt,29:30,29:38,8
Tag det roligt,29:53,30:05,7
Færdig med de komplekse tal,30:06,30:29,8
Andre ting vi skal have ryddet op i,32:25,32:38,10
Vi er på en øde ø,33:33,34:00,10
Den er større end den,35:15,35:27,9
Antallet af rationelle tal,35:44,35:58,7
Et lille stykke tavle,38:48,38:55,6
"Bye bye, ordning",41:50,41:58,6
Regne den sidste opgave,42:08,42:21,8
