name,t1,t2,rating
Algebraens fundementalsætning,05:49,06:28,6
Lidt ækelt,08:38,08:42,5
Hvordan gør man,10:01,10:23,7
Ups - det forstår man ikke,13:27,13:38,6
Tredjegradspolynomium,14:41,15:01,4
Gætte en rod,15:32,15:48,5
De gode gæt,16:24,16:31,7
Nedstigningssætningen,18:18,18:23,5
Knækket kridt - polynomie forelæsning,19:30,19:34,5
Pisse i bukserne,20:59,21:17,6
Er I enige?,21:36,21:40,5
Pas på med kvadratrod,21:47,21:53,4
Det er jo faktisk smukt,23:42,23:54,5
Løsninger til 4. gradsligninger? Maple kan godt,25:42,26:17,6
Tavle nr. 12,26:17,26:28,7
Ryste på hovedet,26:37,26:47,5
Bilde jer ind at det er svært,28:23,28:31,5
"Sådan noget, ik' os'?",28:42,28:49,4
Og sådan gør man det,30:20,30:27,5
Gøres mere indviklet,31:06,31:13,5
Epsilon-funktioner - kan klippes sjovt,31:33,32:35,4
Gøre hvad fanden den vil,33:02,33:23,6
"Ikke noget, der skaffer en venner på Det Lokale Værtshus",37:54,38:09,7
Kæft hvor er det smart,42:51,43:00,8
Hvad vrøvler jeg om,45:21,45:27,5
Fik gjort det lidt mere besværligt,46:09,46:20,6
"Var det ikke det, du spurgte om?",47:40,47:45,6
Lad være med at gøre det i hovedet,50:09,50:15,6
