name;t1;t2;rating
Godmorgen;00:05;00:07;6
Det er faktisk ret sjovt, og ikke spor svært;00:27;00:34;5
Maple kan holde forelæsningen;00:36;01:08;7
Stjæle med arme og ben fra Maple ark;01:33;01:51;6
Læs hvad der står;02:36;02:43;6
Kollegaen der synger og danser og savne jer;02:57;03:23;9
And the camera should probably be on me;03:33;03:47;5
Gå i livet og tro, at alle funktioner er uendeligt mange gange differentiable;07:10;07:21;7
Den bløde og lækre funktion;08:29;08:42;8
Løvejagt;08:44;10:22;10
Sinus til en halv;10:22;10:50;5
Løver, løver, løver;10:53;11:05;4
Arbejdsløse analogi;12:58;13:25;7
Vi holder op med at ønske - nu forlanger vi;19:38;19:50;6
Er det ikke fantastisk;23:37;23:43;5
Og så fortsætter festen;28:46;28:52;5
Synd for Taylor;29:08;29:15;5
Og så fortsætter festen 2;30:07;30:11;4
Det her betyder at lægge sammen;33:10;33:15;5
Nu har jeg sagt Taylors formel mange gange;34:42;34:46;6
Det ser meget godt ud;38:29;39:00;6
Vores yndlingsfunktion;40:24;40:32;5
Hvor fantastisk;42:35;42:42;4
