name	t1	t2	rating
En hos tandlægen	01:00	01:10	6
Strandet på Det Lokale Værtshus med Sinus til en halv	01:38	02:26	10
P4	03:42	03:53	5
Kæft hvor han kører	07:48	07:51	5
Ved vi noget om cosinus	08:13	08:28	4
Det har vi faktisk regnet ud	09:33	09:43	5
En fejl på en 4000tusindedel	09:40	09:50	4
På bagsiden af en serviet	12:10	12:20	6
En lommeregner	12:29	12:38	6
Lommeregneren kan ikke regne	14:00	14:12	4
Konklusion på sinus til en halv	14:40	14:55	9
Færdig arbejde	15:58	16:18	5
Nul over nul udtryk	17:19	17:33	5
Se det smart	20:01	20:07	4
Michael er dårlig til Maple	21:18	21:26	5
Plots	22:06	22:18	5
Det bliver bedre	24:51	24:57	4
Stjæl med arme og ben	26:24	26:41	5
Det havde taget 5 minutter	26:45	27:05	6
DTUs logo	27:13	27:32	6
