name	t1	t2	rating
Fredag i skyttegravene	00:03	00:11	7
ReducedRowEchelonForm	00:30	00:43	8
Vagthunden og Maple	01:50	02:02	6
Når man har trappeformen	11:00	11:15	8
Spørger man sig selv	13:43	14:00	4
Homogene højresider	14:05	14:23	6
Siden 2. klasse	30:39	31:17	6
Mine damer og harer	31:44	31:49	5
R4	32:13	32:28	7
Fjernbetjening og svampe	32:51	33:31	6
Fjernbetjening og svampe 2	33:54	34:11	5
Transponeringer	34:59	35:32	6
Én ligning med én ubekendt	40:00	40:19	8
En halv på Den Lokale	40:39	40:53	8
Der sker noget	41:20	41:40	7
Den motoriske øvelse	49:09	49:35	10
En kommando i Maple	53:58	54:16	7
