name	t1	t2	rating
A little more sound	00:10	00:50	5
Falder i staver	02:20	02:32	5
Vil jeg lige starte her	03:00	03:10	9
Michael tegner	07:16	07:30	5
Omhyggelig med pile	10:58	11:02	4
Nede i Brugsen med vektorer	26:47	27:08	4
Sjov med tal	28:55	29:19	4
Nogenlunde ædru og skal tegne en kasse	29:23	29:33	5
Tre vektorer	30:03	30:20	4
Et godt spørgsmål	30:17	31:01	6
Paralalalpeipidpum	31:00	31:37	6
Errm, ermm, burr	31:58	32:05	6
Tegning af parallelepipedum	32:12	32:55	7
Flyttekasse, mor Karen og svaret på det gode spørgsmål	33:50	34:27	8
Hvis jeg skulle tjekke om de var lineært uafhængige	37:52	38:17	4
Berr, burr, berr	41:08	41:13	4
Rækkeoperationer og nuller	49:54	50:25	7
Gausselimination er røvsygt	51:08	51:20	5
