name	t1	t2	rating
Op på hesten igen	00:04	00:28	6
Det ligner lort	06:00	06:07	6
Blrlbrlb 2	07:22	07:39	5
Grunden til, at det ser svært ud	14:21	14:28	8
Grunden til, at det ser svært ud 2	14:42	14:58	6
Skruet pæren godt fast	19:28	19:34	5
Hold kæft, hvor er det skarpt mand	20:18	20:20	4
Mamma mia	22:29	22:40	7
Klimakset	35:44	36:02	8
am i right	39:41	39:54	8
Stress og røde knopper	47:10	47:28	5
Røv og nøgler, men det kan Maple	49:52	49:57	6
Den Lokale Bodega og omvejen	51:15	51:25	9
Knækket kridt - f21	53:41	53:45	3
Jeg er stiv	54:22	54:45	6
Juleleg og en tur i karusellen	55:05	55:14	5
Vandhullet og hjem i seng	55:56	56:24	8
