name,t1,t2,rating
Så er det som at tage... ,03:40,03:53,4
Hvordan gør man? Den gange den,03:55,04:02,4
Værsågod at spis - del 1,04:50,05:04,7
Værsågod at spis - del 2,05:53,06:11,7
ReducedRowEchelonForm i hovedet,08:30,09:03,7
"Taber svampen, Moar",10:54,11:01,5
ReducedRowEchelonForm og et los i røven,12:31,12:53,7
Det er mig der er stiv + rettelse,15:10,16:12,6
"Shit, kan I se det?",21:37,21:41,7
"Hvad i det hede, hule helevede er sjovt ved det her?",42:55,43:10,5
A i tiende på en øde ø,43:16,44:02,7
Tusinde og firetyve,45:30,46:05,6
Lidt forskellige godter,46:23,47:27,5
Kompakte udregninger,47:57,48:16,6
Slutning på øscenarie,48:41,49:00,5
