name,t1,t2,rating
Snart slut,00:28,00:59,7
Jeg kan ikke tegne det anderledes,19:08,19:20,5
Ortogonaltransformation,19:45,20:00,4
Ingen ko på isen - forelæsning 30,21:42,21:45,4
Hold kæft hvor det kører,25:56,26:03,5
"1 plus 2, det er 3",27:41,27:49,4
Løjer in action,27:53,29:19,6
Gamle moster i Jylland og telefonboksen,29:49,30:29,5
Hvad så med den inverse?,37:51,38:04,5
Gamle Moster i Jylland og telefonboksen - 2,38:09,38:26,6
"Jeg ved ikke, om det gør en klogere",39:06,39:16,6
Vi ses i Kælderbaren,47:35,48:03,9
