t1;t2;name;rating
00:03;00:21;Siden I er her;7
00:55;01:03;Alle ting af interesse;5
01:32;01:40;Overraskende nok;4
02:05;02:30;Nord øst;7
03:22;03:43;Hvad skal vi lave;5
06:17;06:27;Fjorten;5
07:29;07:48;Færdighedsregning;5
08:30;08:41;Brøkregning;4
09:50;09:56;Holde kæft og snakke om komplekse tal;6
10:10;10:40;40 i feber og Matematik stream;6
10:45;11:03;Hvis ens forelæser er en nar;5
13:57;14:10;Tror på folk har fattet budskabet;7
18:56;19:15;Pythagoras, ik'?;7
19:42;19:57;Smart måde på Den Lokale Bodega;8
21:47;21:49;Og sådan er det;5
22:04;22:18;Ufatteligt grimt R;4
25:10;25:22;Ikke noget at ryste over;6
25:45;26:15;En syg multiplikation;6
27:00;27:25;En syg multiplikation 2;9
27:50;28:05;Discovery Channel;7
31:23;31:33;En enestående opdagelse;7
32:30;32:35;So far, so fedt;6
32:50;32:58;En mwhahaha-oplevelse;5
33:35;33:47;Den gange den;5
35:34;36:02;Det eneste man skal huske;9
39:23;39:33;Schwup - så kommer den herop;5
41:33;41:46;Det eneste man skal huske 2;8
