t1	t2	name	rating
02:20	02:29	Fucke op så mange gange	8
02:59	03:13	Det eneste man skal huske 3	8
03:25	03:35	Skal man gå på universitet?	8
07:00	07:11	Kan man bruge de her ting til noget	7
09:34	09:43	Færdigt arbejde	6
11:20	11:34	Spild af RAM	8
15:30	15:44	Sådan dividerer man - lidt fedt, ik'?	6
17:00	17:10	Kaste op i lårtykke stråler	8
17:21	17:26	Hvordan i helvede skal man gøre det	8
17:42	17:45	Knækket kridt	5
23:27	23:47	Klasker sig på lårene af fryd - der kom lige en cirkel	8
23:47	23:53	Når man jo nu har den fremme	6
24:10	24:26	Pædagogisk farvet kridt	8
29:30	29:38	Utroligt hvad man kan her i verden uden kridt	8
29:53	30:05	Tag det roligt	7
30:06	30:29	Færdig med de komplekse tal	8
32:25	32:38	Andre ting vi skal have ryddet op i	10
33:33	34:00	Vi er på en øde ø	10
35:15	35:27	Den er større end den	9
35:44	35:58	Antallet af rationelle tal	7
38:48	38:55	Et lille stykke tavle	6
41:50	41:58	Bye bye, ordning	6
42:08	42:21	Regne den sidste opgave	8
