name,t1,t2,rating
"Hold kæft, hvor er der langt.",00:00,00:07,5
Velkommen,00:20,00:59,4
"Lokaler, der er gemt på campus",01:18,01:39,5
Undervisning til kl. 22,03:42,04:07,7
Ugens Test,05:00,05:20,4
14 til eksamen,05:32,06:00,4
Komplekse tal er ikke særligt svært,07:49,08:08,6
"Okay, jeg går i gang",08:28,08:33,5
Forurener nettet med Mat 1,08:35,09:45,5
Madonna-koncert ,09:48,10:02,7
Maple og færdig på 10 minutter,10:55,11:14,4
Grimme kvadratrødder,17:11,17:56,6
Fuldstændig banalt,20:21,20:27,7
Syg hjerne ,24:22,24:33,6
Pissespændte,25:59,26:05,6
For sportens skyld og knækket kridt,26:05,26:15,8
Ikke helt simpelt at forklare bedstemor i Jylland,27:23,27:33,6
Fuldstændig hjerneblødt,32:40,32:50,5
Menneskeheden og 1500 år,37:45,37:57,4
Det eneste man skal huske 1,38:44,39:02,7
Det eneste man skal huske 2,42:53,43:08,7
Nu skal man lige passe på,43:17,43:23,6
Det eneste man skal huskke 3,43:38,43:47,7
Det eneste man skkal huske 4,44:36,44:50,7
Vi ses om 5 uger,45:15,45:25,6
