name,t1,t2,rating
Det forstår man ikke et hammerslag af,05:43,05:53,6
Noget der går godt,06:01,06:12,7
Det er meget hemmeligt,14:06,14:12,4
Komplekse far,15:20,15:28,6
maple til det her ,17:10,17:23,6
Det går hurtigere end jeg kan sige det,17:28,17:38,5
skal i bare lukke øjnene ,23:53,24:00,3
Den gang jeg gik i gym,26:52,27:18,10
Fjenden kommer,27:39,27:48,4
Sådan nogle lege man leger i fredagsbaren,28:20,28:28,7
Det kan i ikke lide,33:14,33:31,8
Goddammit,38:51,39:04,5
Så har i også hørt om epsilon funktioner,44:00,44:10,3
