name,t1,t2,rating
Havde vi ikke om komplekse tal,01:58,02:03,4
Fidusen er 1,03:02,03:04,2
Færdig arbejde,11:55,12:08,5
funktioner man kan skære sig på,13:01,13:23,4
I tør sku ikke at sige nej,17:29,17:43,5
Kan i se det,18:41,18:46,6
videre,19:56,20:00,4
Patient som ur,21:14,21:35,7
Patient som ur 2,22:10,22:50,7
Det vidste i jo godt i forvejen,22:35,22:42,7
Vi stikker piben ind,29:59,30:10,6
Er det mig der vrøvler,37:55,38:00,5
Enhedsægget,38:08,38:14,6
I har ingen regneforskrift,39:01,39:15,7
wow,42:09,42:13,5
Kæft hvor det gører for de små indianere,51:18,51:22,9
Kan det være sjovere fredag morgen,52:34,53:00,8
