name,t1,t2,rating
"Godmorgen, lad os stemme om det",00:00,00:15,6
"Komplekse tal, der følger os resten af vores liv",00:16,00:22,6
Den forelæsning jeg skal holde nu knaldes af på 5 minutter i Maple,01:53,02:15,6
Peter Rygaard og Slagelse,04:04,04:36,5
Peter Rygaard og Slagelse 2 ,04:40,05:06,7
"Ikke særligt svært, og ovenikøbet lidt sjovt",05:10,05:17,6
Fredag og temaøvelse,06:05,06:32,6
Mange grimme dyr i skoven,10:36,11:10,5
"En krølle, en krølle, og en lidt større krølle",39:58,40:38,5
Alles kælefunktion,42:30,42:44,5
"En sjettedel, gå hjem",44:09,44:18,5
