name;t1;t2;rating
Nogenlunde ædrueligt ud;02:28;02:33;4
Sværd og lineære restriktioner;09:45;10:07;5
En simpel funktion;16:18;16:34;5
Det er sgu da genialt;16:46;17:14;5
På rigtig gammeldags - 1;19:56;20:21;5
På rigtig gammeldags - 2;20:55;21:02;5
Enhver rask DTU studerende med promille 4;21:03;21:17;7
Dyb ensomhed på sit værelse;24:11;24:25;6
En omvendt frugtskål;25:25;25:35;6
Snitte i en parabelskål;26:03;26:13;4
En god måde at slutte en fredag på;48:00;48:39;6
Brugte jeres tålmodighed;56:56;57:11;7
