name;t1;t2;rating
Archimedes og kuglens rumfang;00:35;00:59;5
Mine damer og herrer, the standard parametrisering of the kugle;05:29;05:36;7
3 ledige tavler - helt forfærdeligt;06:42;07:04;6
Determinanten af den her formidable matrix;07:08;07:16;6
Determinanten af den her formidable matrix 2;08:20;09:32;7
Inden jeg går videre;10:00;10:14;6
Lykken tilsmiler de snaldrede 2;11:53;12:06;7
Ej, det var da ikke så galt;12:53;13:05;5
Kuglen fik vi skudt ned;16:17;16:27;5
Det er jo rent fest det her;18:03;18:08;7
Archimedes og kuglens rumfang 2;19:58;20:26;4
Gabriels horn 1;20:27;20:43;3
Gabriels horn 2;20:49;21:25;5
Gabriels horn 3;21:29;21:36;3
Gabriels horn 4;21:57;23:33;5
Gabriels horn 5;25:57;26:18;6
Gabriels horn 6;31:33;32:40;4
Gabriels horn 7;42:45;45:00;5
