name,t1,t2,rating
Overrasker det os?,04:37,04:47,7
"Vi kan huske, hvad der står her",11:39,12:03,5
Et af de rigtig store dyr - Gauss' divergenssætning,16:23,16:56,8
En kartoffel i rummet,17:14,17:36,7
Randen er skrællen,18:05,18:16,7
"Gausses sætning, mine damer og herrer",22:44,23:08,8
Hold kæft en parametrisering,27:53,28:01,5
Blabla,28:43,29:03,5
Et klamt vektorfelt,29:04,30:38,4
En klam udregning,31:01,31:42,4
Maple i kamp mod røg og damp,31:42,32:17,9
Divergensen redder jer,32:17,33:04,7
Tag den Maple,33:48,34:24,8
Dadaaaaaaa,43:41,44:00,9
Sætte pris på Gauss' divergenssætning,44:41,44:59,6
