name,t1,t2,rating
Satanedenme Fredag morgen,00:03,00:15,7
En lidt hyggelig omgang,02:08,02:20,6
Maple TA,03:26,03:44,5
Den Transcendentale Brevdue,04:04,04:50,6
Udfordringer når 500 logger på,07:04,07:17,5
Ingeniører der starter Mainframes,08:21,08:37,6
"Det er Fredag, alt er tilladt",08:57,09:34,10
Så længe som det nu varer,10:48,11:02,7
Tekopper og grønne biler,11:46,12:00,6
Computerkommandoer,13:43,13:53,4
Ost hvor der er spist noget af,17:35,17:47,4
Kataloget over alle kataloger,18:48,19:57,10
Spand som jeg fisker op af,21:28,21:36,4
Hvad er det for nogen,26:12,26:19,2
Den Flinke Mand og Matematik 1,42:54,43:39,7
Fjenden og det komplekse tal,49:09,49:26,6
En lille smule smart Fredag morgen,55:29,55:38,10
Syvogtyve,56:02,56:34,9
Fuldstændig ligemeget men meget sjovt,58:39,59:01,8
