name,t1,t2,rating
Endelig Fredag,00:13,00:23,8
"Ej, det var måske lige grundigt nok",09:51,10:02,7
Har du husket din madpakke,10:41,10:58,7
Bare for at se om I sov,11:41,11:50,8
Intellektuelle morgenøvelse,11:50,11:55,6
Ting I kender fra gymnasiet,12:40,12:53,5
Bytte rundt på tavlerne,15:44,15:56,4
Man skal kigge funktionen intenst i øjnene,16:19,16:36,6
Hvorfor hedder det kædereglen,19:00,19:06,6
Ja det ved jeg da ikke,22:27,22:32,7
Kan jeg reparere på det,23:23,23:29,5
Kan I nu komme hjem,24:07,24:12,5
Så øffer vi det,26:34,26:41,9
Den spiser,27:20,27:33,5
Knækket kridt,30:19,30:28,3
Kigge hårdt på den,32:28,32:34,5
Skulle vi så ikke differentiere den,37:50,38:02,3
Arcsin,38:12,38:38,6
Hvad er f for en fisk,38:39,38:47,6
Okay det bliver værre og værre,39:11,39:34,7
"Nu er jeg færdig, hvorfor?",41:12,41:20,6
Okay - Kan I se det,41:44,41:52,5
Det sidste Komplekse Tal gymnastik,44:07,44:20,4
Det er det vi håber,45:14,45:30,4
Der var jeg lige ved at fange jer,46:25,46:36,6
Så vi kører med kædereglen,47:19,47:32,5
Hvis man afleverer den slags lighedstegn til ens lærer,47:31,47:54,8
Hurra og Bingo og De Gamle Grækere,53:49,54:48,7
