name,t1,t2,rating
Den Motoriske Øvelse,06:58,07:23,10
Det er faktisk meget simpelt,08:55,09:03,7
Med mindre man laver noget åndsvagt,16:52,17:04,7
En højere magt,19:03,19:14,5
Krusedulle eller et hjerte,19:48,20:00,8
I må lige tjekke hvad jeg laver,21:23,21:30,6
Jeg kan sagtens sige noget åndsvagt,21:27,21:41,6
Foreløbigt går det da forrygende,22:17,22:22,8
Den Nye Gausselimination,22:27,22:52,9
Her siger jeg ugh,23:10,23:27,6
Nu begynder det at snurre,27:05,27:45,5
Det kan jeg mærke på mit helbred,28:48,28:59,7
Skjult reklame for Maple,31:44,32:03,9
The First Rule of Life,32:06,32:20,9
Fandenme godt med nogle livliner,34:16,34:21,8
Nulrække og død,35:37,35:48,7
Foreløbigt er vi i live,36:01,36:04,7
Beklager,36:09,36:19,6
Andre steder jeg har lavet noget åndsvagt,40:06,40:23,9
Det var de to kommandoer,43:46,44:02,8
