name,t1,t2,rating
"Så nærmer efterårsferien sig",00:13,00:19,5
"Så er det en kommando der hedder determinant",00:58,01:25,8
"Kig hårdt på matricen",06:05,06:12,6
"Pyha - det var nemt",08:34,08:43,9
"Det er der ikke meget pænt at sige om",12:44,12:56,6
"Er det okay? Ja siger I",17:30,17:42,10
"Ens våde drøm",17:50,18:02,8
"Det er ikke så slemt når man har prøvet det",19:55,20:05,7
"Av for helvede",20:18,20:26,6
"Pyrus' regel",26:45,27:01,8
"Det er ikke synderligt elegant",27:08,27:15,6
"Nu tror vi på det",37:05,37:12,6
"Det gider vi ikke, det er besværligt",38:18,38:24,7
"Hov, det var nul",40:59,41:13,5
"Ej fuck mand - det skal jeg nok ikke",45:06,45:18,7
"Det er jo fedt at vide",45:35,45:43,6
"Nok om det()",47:39,47:59,7
