name,t1,t2,rating
Placeholder,00:21,00:28,1
Placeholder,02:31,02:37,1
Placeholder,02:40,02:48,1
Placeholder,03:26,03:44,1
Placeholder,05:47,08:17,1
Placeholder,12:50,13:23,1
Placeholder,15:38,15:46,1
Placeholder,18:23,18:31,1
Placeholder,24:41,24:52,1
Den Store Fede Tryllestav,28:37,29:25,10
Placeholder,29:34,29:41,1
Placeholder,29:59,30:15,1
Placeholder,34:48,34:53,1
Placeholder,35:16,35:31,1
Placeholder,37:38,37:59,1
Placeholder,40:08,40:18,1
Placeholder,40:46,40:52,1
Placeholder,43:55,44:03,1
Placeholder,47:33,47:40,1
Placeholder,47:44,47:48,1
