name,t1,t2,rating
"To ligninger med tre ubekendte kan vi godt finde ud af",03:39,03:52,5
"Nu foregriber jeg begivenhedernes gang",09:12,09:20,3
"Aaaah",12:37,12:40,6
"Wuu",13:37,13:46,6
"Pine lidt mere ud af det",14:58,15:03,5
"Sprogligt fnidderfnadder",16:36,16:45,5
"Højreskrue, okay",18:06,18:19,3
"Det helt store julenummer",24:00,24:09,7
"Vi kan mere!",27:27,27:33,7
"Nu lugter det af noget",31:41,31:47,6
"Nu skal I eddermaenme se løjer",38:09,38:16,7
"Rawr",39:23,39:39,7
"Sørg for hele lortet er normeret",40:31,40:40,6
"Symmetriske matricer kan diagonaliseres ved en spiritusprøve",41:25,41:50,10
"Spiritusprøven",44:07,44:16,9
"Det var en lang omgang",46:55,47:08,6
