name,t1,t2,rating
Det er rent gymnasiestof,01:35,01:38,3
Kompleks telefonboks,03:33,03:48,5
Tæppe over hovedet,05:05,05:12,4
Enhedsæg,11:00,11:07,5
I skal nok blive trætte af det,16:47,16:55,4
Knap på lommeregneren,20:03,20:10,4
Endnu et enhedsæg,21:10,21:22,5
Lad os sige jeg er lidt retarderet,24:10,24:20,7
Hvis der er fysikere til stede,32:30,32:40,2
Et stort enhedsæg,33:10,33:17,4
Pæneste enhedscirkel i mit liv,33:26,33:44,5
Kunne gøres på en øde ø,37:25,37:35,4
Øde Ø og pind i sandet,45:02,45:12,6
Øde Ø og badeshorts,46:32,46:43,5
