name,t1,t2,rating
Skræmmende determinanter,00:32,00:40,6
Kun kvadratiske matricer,03:30,03:41,5
"Bum, bum, bum - den er regulær",10:34,10:46,4
Nu bryder helvede løs,13:40,13:55,7
ærterækker,15:00,15:30,7
matricelort,15:35,15:50,6
fremrævet,15:54,16:05,6
Fidusen er x2 - determinant,21:08,21:10,3
Sjov med snitmatricer,21:40,21:50,5
En kompliceret måde at begå selvmord på,22:45,22:55,7
En kommando i Maple - determinant,23:40,23:51,8
Tal der er sjove at gange med,24:59,25:15,7
Plus minus plus,26:29,26:42,4
Følg nullerne,28:40,28:52,6
Pyrus' regel,30:12,30:24,6
Jeg er bare stiv,38:05,38:17,6
Moar,39:35,40:23,8
Moar part 2,40:52,41:07,8
Moar part 3,41:07,41:31,8
En søjle med mange nuller,42:37,42:43,6
Øde ø og regulære matricer,45:00,45:41,7
En eller anden nar,46:29,46:47,7
En times tid,47:03,47:10,7
Det smart,48:48,48:52,5
Det er jo fedt nok,50:17,50:35,6
Flotte formler,50:35,50:56,6
"Pyha, det var hårdt",51:02,51:12,6
