name,t1,t2,rating
Nu kan de ikke komme ud,00:00,00:06,5
Godmorgen,00:16,00:23,7
Ikke noget nyt og godt fra havet,00:25,00:35,6
Hvis I gik rigtigt sidst,00:34,00:42,5
Helt overladt til jer selv,01:28,01:38,5
"Okay Michael Pedersen, hold kæft",01:38,01:44,7
Børnehaveklassen og rockkoncert,03:14,03:44,8
Ikke specielt originalt,04:30,04:40,6
Bare fordi jeg er senil,05:50,05:55,5
Tuborgparanteser,06:06,06:15,4
Det eneste man skal huske 6,14:21,14:32,6
Lalletrivielt,22:26,22:36,7
Hjerneyveret,36:00,36:13,5
Hvad fanden er nu det for noget,42:27,42:37,7
Mickey Mouse eksempel,50:35,50:43,6
Lege lidt med de komplekse tal,53:27,53:37,5
Tak for i dag,54:24,54:35,7
