name,t1,t2,rating
Fandenme fredag,00:00,00:15,8
"Binome ligninger, og lidt sjovt",01:41,02:15,6
Hovedregning og jaaa,08:49,09:10,5
Det nye dyr i den Zoologiske Have,14:04,14:11,6
"1, 2, 3 - ikke så svært at huske",17:54,18:16,7
"1, 2, 3 - eliteuniversitet",18:56,19:12,8
Enhedsæg,19:37,19:50,7
En pæn formel,21:25,21:55,7
Det er jo så nemt,30:13,30:30,6
Enhedsægget 2,34:22,34:32,6
"Uendeligt mange, høhø",38:24,38:29,5
Navn mangler,46:21,46:36,5
Det er jo skidesmart,47:12,47:20,8
1 er nok en løsning,50:18,50:36,7
"Det er jo meget sjovt, haha",53:23,53:45,8
En lang historie - ævle ævle,54:38,58:25,8
