semester,skema,title,link
E13/F14,Skema C,Komplekse Tal del1,https://video.dtu.dk/media/Komplekse+Tal+del1/0_nh2pvfdd/200597
E13/F14,Skema C,Komplekse Tal Del2,https://video.dtu.dk/media/Komplekse+Tal+Del2/0_dsb26q70/200597
E13/F14,Skema C,Komplekse Tal Del 1,https://video.dtu.dk/media/Komplekse+Tal+Del+1/0_423114bb/200597
E13/F14,Skema C,Komplekse Tal Del 2,https://video.dtu.dk/media/Komplekse+Tal+Del+2/0_buuuew2w/200597
E13/F14,Skema C,Komplekse Tal Del1,https://video.dtu.dk/media/Komplekse+Tal+Del1/0_4yunbrpb/200597
E13/F14,Skema C,Komplekse Tal Del2,https://video.dtu.dk/media/Komplekse+Tal+Del2/0_lujjbv3o/200597
E13/F14,Skema C,Komplekse Tal Del 1,https://video.dtu.dk/media/Komplekse+Tal+Del+1/0_gqliyana/200597
E13/F14,Skema C,Komplekse Tal Del 2,https://video.dtu.dk/media/Komplekse+Tal+Del+2/0_wnrs6ifl/200597
E13/F14,Skema C,Komplekse Tal Binom Ligning Del1,https://video.dtu.dk/media/Komplekse+Tal+Binom+Ligning+Del1/0_dbx8gnqk/200597
E13/F14,Skema C,Komplekse Tal Binom Ligning Del2,https://video.dtu.dk/media/Komplekse+Tal+Binom+Ligning+Del2/0_oy25casz/200597
E13/F14,Skema C,Komplekse Tal Del 1,https://video.dtu.dk/media/Komplekse+Tal+Del+1/0_033egw2e/200597
E13/F14,Skema C,Komplekse Tal Del 2,https://video.dtu.dk/media/Komplekse+Tal+Del+2/0_9sw2ovfm/200597
E13/F14,Skema C,Integralregning Del1,https://video.dtu.dk/media/Integralregning+Del1/0_uo0hhfjp/200597
E13/F14,Skema C,Integralregning Del2,https://video.dtu.dk/media/Integralregning+Del2/0_gy1qoyij/200597
E13/F14,Skema C,Lineære Ligninger Del1,https://video.dtu.dk/media/Line%C3%A6re+Ligninger+Del1/0_7wy4bqt7/200597
E13/F14,Skema C,Lineære Ligninger Del2,https://video.dtu.dk/media/Line%C3%A6re+Ligninger+Del2/0_xesxyc52/200597
E13/F14,Skema C,Lineær Algebra Del 1,https://video.dtu.dk/media/Line%C3%A6r+Algebra+Del+1/0_l16recdt/200597
E13/F14,Skema C,Lineær Algebra Del 2,https://video.dtu.dk/media/Line%C3%A6r+Algebra+Del+2/0_dq5q7ewh/200597
E13/F14,Skema C,Matrixalgebra Del1,https://video.dtu.dk/media/Matrixalgebra+Del1/0_wt6nevda/200597
