tag,stream_title,link
E13CL01,Integralregning Del1,https://video.dtu.dk/media/Integralregning+Del1/0_uo0hhfjp/200597
F15CL01,Riemann integraler Del 1,https://video.dtu.dk/media/t/0_4thr6y2y/192477
E15CL01,System af diff-ligninger Del 2,https://video.dtu.dk/media/System+af+diff-ligninger+Del+2/0_g4zkrfg4/185147
F17BL01,Riemannintegralet og Kurver i Planen og Rummet Del 1,https://video.dtu.dk/media/t/0_x3zaz0v6/185142
E17AL01,Lineære afbildninger-Part 1,https://video.dtu.dk/media/Line%C3%A6re+afbildninger-Part+1/0_wnr1vmch/185137
E17BL01,Komplekse tal 1 -part 1,https://video.dtu.dk/media/Komplekse+tal+1+-part+1/0_p1cud2lg/185138
E17BL02,Komplekse tal 1 -part 2,https://video.dtu.dk/media/Komplekse+tal+1+-part+2/0_36d9gwrz/185138
E17BL03,Regning med reelle og komplekse tal,https://video.dtu.dk/media/Regning+med+reelle+og+komplekse+tal/0_fe6jkjnf/185138
E17BL04,Polære koordinater og eksponentiel form - Part 1,https://video.dtu.dk/media/Pol%C3%A6re+koordinater+og+eksponentiel+form+-+Part+1/0_uiguijao/185138
E17BL05,Polære koordinater og eksponentiel form - Part 2,https://video.dtu.dk/media/Pol%C3%A6re+koordinater+og+eksponentiel+form+-+Part+2/0_w2mchz0d/185138
E17BL06,Polære koordinater og eksponentialfunktionen,https://video.dtu.dk/media/Pol%C3%A6re+koordinater+og+eksponentialfunktionen/0_lgm9dzwb/185138
E17BL07,Komplekse Tal-Polynomier Part 1,https://video.dtu.dk/media/Komplekse+Tal-Polynomier+Part+1/0_va1hidud/185138
E17BL08,Komplekse Tal-Polynomier Part 2,https://video.dtu.dk/media/Komplekse+Tal-Polynomier+Part+2/0_7kemrj82/185138
E17BL09,Komplekse tal - Differentiabilitet,https://video.dtu.dk/media/Komplekse+tal+-+Differentiabilitet/0_hblvo135/185138
E17BL10,Taylors Formel part 1,https://video.dtu.dk/media/Taylors+Formel+part+1/0_uwzet5oi/185138
E17BL11,Taylors Formel part 2,https://video.dtu.dk/media/Taylors+Formel+part+2/0_720s8mqq/185138
E17BL12,Lineære ligningssystemer - Part 1,https://video.dtu.dk/media/Line%C3%A6re+ligningssystemer+-+Part+1/0_4kt3v87w/185138
E17BL13,Lineære ligningssystemer - Part 2,https://video.dtu.dk/media/Line%C3%A6re+ligningssystemer+-+Part+2/0_ldjjh4mt/185138
E17BL14,Matrixalgebra,https://video.dtu.dk/media/Matrixalgebra/0_l648j4iv/185138
E17BL15,Determinanter og vektor-geometri-Part1,https://video.dtu.dk/media/Determinanter+og+vektor-geometri-Part1/0_u21wuh3e/185138
E17BL16,Determinanter og vektor-geometri-Part2,https://video.dtu.dk/media/Determinanter+og+vektor-geometri-Part2/0_y3mhkg4j/185138
E17BL17,Geometri i planen og rummet,https://video.dtu.dk/media/Geometri+i+planen+og+rummet/0_0f02vaqy/185138
E17BL18,Vektorrum-Part 1,https://video.dtu.dk/media/Vektorrum-Part+1/0_7jdsmfb0/185138
E17BL19,Vektorrum-Part 2,https://video.dtu.dk/media/Vektorrum-Part+2/0_pumksmj8/185138
E17BL20,Lineære afbildninger-Part 1,https://video.dtu.dk/media/Line%C3%A6re+afbildninger-Part+1/0_ros2ggy1/185138
E17BL21,Lineære afbildninger-Part 2,https://video.dtu.dk/media/Line%C3%A6re+afbildninger-Part+2/0_fm48dkhx/185138
E17BL22,Afbildningsmatricer og basisskifte,https://video.dtu.dk/media/Afbildningsmatricer+og+basisskifte/0_1hxzf1iz/185138
E17BL23,Lineære 1.ordens differentialligninger - Del 1,https://video.dtu.dk/media/Line%C3%A6re+1.ordens+differentialligninger+-+Del+1/0_u8lpj7an/185138
E17BL24,Lineære 1.ordens differentialligninger - Del 2,https://video.dtu.dk/media/Line%C3%A6re+1.ordens+differentialligninger+-+Del+2/0_byqlbkjm/185138
E17BL25,Egenværdier og Egenvektorer -Part1,https://video.dtu.dk/media/Egenv%C3%A6rdier+og+Egenvektorer+-Part1/0_nulgp7p3/185138
E17BL26,Egenværdier og Egenvektorer -Part2,https://video.dtu.dk/media/Egenv%C3%A6rdier+og+Egenvektorer+-Part2/0_zj5jde3w/185138
E17BL27,Diagonalisering ved similartransformation,https://video.dtu.dk/media/Diagonalisering+ved+similartransformation/0_9wf0sa6h/185138
E17BL28,Symmetriske matricer -Part1,https://video.dtu.dk/media/Symmetriske+matricer+-Part1/0_qmj6v8ke/185138
E17BL29,Symmetriske matricer -Part2,https://video.dtu.dk/media/Symmetriske+matricer+-Part2/0_7jslsmbv/185138
E17BL30,Positiv ortogonal matrix,https://video.dtu.dk/media/Positiv+ortogonal+matrix/0_g3x8vvak/185138
E17BL31,Differentialligningssystemer - Part 1,https://video.dtu.dk/media/Differentialligningssystemer+-+Part+1/0_h1spmcsy/185138
E17BL32,Differentialligningssystemer - Part 2,https://video.dtu.dk/media/Differentialligningssystemer+-+Part+2/0_6ox5iwpa/185138
E17BL33,Andenordens differentialligninger - Part 1,https://video.dtu.dk/media/Andenordens+differentialligninger+-+Part+1/0_g3zswarj/185138
