semester,skema,title,link,stream_link
E13/F14,Skema C,Komplekse Tal del1,https://video.dtu.dk/media/Komplekse+Tal+del1/0_nh2pvfdd/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_nh2pvfdd/format/url/protocol/https
E13/F14,Skema C,Komplekse Tal Del2,https://video.dtu.dk/media/Komplekse+Tal+Del2/0_dsb26q70/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_dsb26q70/format/url/protocol/https
E13/F14,Skema C,Komplekse Tal Del 1,https://video.dtu.dk/media/Komplekse+Tal+Del+1/0_423114bb/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_423114bb/format/url/protocol/https
E13/F14,Skema C,Komplekse Tal Del 2,https://video.dtu.dk/media/Komplekse+Tal+Del+2/0_buuuew2w/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_buuuew2w/format/url/protocol/https
E13/F14,Skema C,Komplekse Tal Del1,https://video.dtu.dk/media/Komplekse+Tal+Del1/0_4yunbrpb/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_4yunbrpb/format/url/protocol/https
E13/F14,Skema C,Komplekse Tal Del2,https://video.dtu.dk/media/Komplekse+Tal+Del2/0_lujjbv3o/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_lujjbv3o/format/url/protocol/https
E13/F14,Skema C,Komplekse Tal Del 1,https://video.dtu.dk/media/Komplekse+Tal+Del+1/0_gqliyana/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_gqliyana/format/url/protocol/https
E13/F14,Skema C,Komplekse Tal Del 2,https://video.dtu.dk/media/Komplekse+Tal+Del+2/0_wnrs6ifl/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_wnrs6ifl/format/url/protocol/https
E13/F14,Skema C,Komplekse Tal Binom Ligning Del1,https://video.dtu.dk/media/Komplekse+Tal+Binom+Ligning+Del1/0_dbx8gnqk/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_dbx8gnqk/format/url/protocol/https
E13/F14,Skema C,Komplekse Tal Binom Ligning Del2,https://video.dtu.dk/media/Komplekse+Tal+Binom+Ligning+Del2/0_oy25casz/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_oy25casz/format/url/protocol/https
E13/F14,Skema C,Komplekse Tal Del 1,https://video.dtu.dk/media/Komplekse+Tal+Del+1/0_033egw2e/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_033egw2e/format/url/protocol/https
E13/F14,Skema C,Komplekse Tal Del 2,https://video.dtu.dk/media/Komplekse+Tal+Del+2/0_9sw2ovfm/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_9sw2ovfm/format/url/protocol/https
E13/F14,Skema C,Integralregning Del1,https://video.dtu.dk/media/Integralregning+Del1/0_uo0hhfjp/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_uo0hhfjp/format/url/protocol/https
E13/F14,Skema C,Integralregning Del2,https://video.dtu.dk/media/Integralregning+Del2/0_gy1qoyij/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_gy1qoyij/format/url/protocol/https
E13/F14,Skema C,Lineære Ligninger Del1,https://video.dtu.dk/media/Line%C3%A6re+Ligninger+Del1/0_7wy4bqt7/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_7wy4bqt7/format/url/protocol/https
E13/F14,Skema C,Lineære Ligninger Del2,https://video.dtu.dk/media/Line%C3%A6re+Ligninger+Del2/0_xesxyc52/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_xesxyc52/format/url/protocol/https
E13/F14,Skema C,Lineær Algebra Del 1,https://video.dtu.dk/media/Line%C3%A6r+Algebra+Del+1/0_l16recdt/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_l16recdt/format/url/protocol/https
E13/F14,Skema C,Lineær Algebra Del 2,https://video.dtu.dk/media/Line%C3%A6r+Algebra+Del+2/0_dq5q7ewh/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_dq5q7ewh/format/url/protocol/https
E13/F14,Skema C,Matrixalgebra Del1,https://video.dtu.dk/media/Matrixalgebra+Del1/0_wt6nevda/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_wt6nevda/format/url/protocol/https
E13/F14,Skema C,Matrixalgebra Del2,https://video.dtu.dk/media/Matrixalgebra+Del2/0_z2otokru/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_z2otokru/format/url/protocol/https
E13/F14,Skema C,Geometriske Vektorer Del 1,https://video.dtu.dk/media/Geometriske+Vektorer+Del+1/0_a8rh14lj/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_a8rh14lj/format/url/protocol/https
E13/F14,Skema C,Geometriske Vektorer Del 2,https://video.dtu.dk/media/Geometriske+Vektorer+Del+2/0_sbikh5p4/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_sbikh5p4/format/url/protocol/https
E13/F14,Skema C,Vektorrum Del 1,https://video.dtu.dk/media/Vektorrum+Del+1/0_kfa9n3ga/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_kfa9n3ga/format/url/protocol/https
E13/F14,Skema C,Vektorrum Del 2,https://video.dtu.dk/media/Vektorrum+Del+2/0_t4j05lc4/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_t4j05lc4/format/url/protocol/https
E13/F14,Skema C,Lineær Afbildning Del 1,https://video.dtu.dk/media/Line%C3%A6r+Afbildning+Del+1/0_vba7cm5s/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_vba7cm5s/format/url/protocol/https
E13/F14,Skema C,Lineær Afbildning Del 2,https://video.dtu.dk/media/Line%C3%A6r+Afbildning+Del+2/0_5ppu2mc7/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_5ppu2mc7/format/url/protocol/https
E13/F14,Skema C,Basisskifte Del 1,https://video.dtu.dk/media/Basisskifte+Del+1/0_0auqhxn3/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_0auqhxn3/format/url/protocol/https
E13/F14,Skema C,Basisskifte Del 2,https://video.dtu.dk/media/Basisskifte+Del+2/0_2cnq4tc2/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_2cnq4tc2/format/url/protocol/https
E13/F14,Skema C,Funktionsrum Del 1,https://video.dtu.dk/media/Funktionsrum+Del+1/0_x3nno6d8/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_x3nno6d8/format/url/protocol/https
E13/F14,Skema C,Funktionsrum Del 2,https://video.dtu.dk/media/Funktionsrum+Del+2/0_u73c37dy/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_u73c37dy/format/url/protocol/https
E13/F14,Skema C,Egenværdier Del 1,https://video.dtu.dk/media/Egenv%C3%A6rdier+Del+1/0_4xnedrvh/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_4xnedrvh/format/url/protocol/https
E13/F14,Skema C,Egenværdier Del 2,https://video.dtu.dk/media/Egenv%C3%A6rdier+Del+2/0_vgbqhvlg/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_vgbqhvlg/format/url/protocol/https
E13/F14,Skema C,Diagonalisering Del 1,https://video.dtu.dk/media/Diagonalisering+Del+1/0_fta8zqth/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_fta8zqth/format/url/protocol/https
E13/F14,Skema C,Diagonalisering Del 2,https://video.dtu.dk/media/Diagonalisering+Del+2/0_2ml4s3vg/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_2ml4s3vg/format/url/protocol/https
E13/F14,Skema C,1. ord. diff-ligninger Del 1,https://video.dtu.dk/media/1.+ord.+diff-ligninger+Del+1/0_myqea1j6/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_myqea1j6/format/url/protocol/https
E13/F14,Skema C,1. ord. diff-ligninger Del 2,https://video.dtu.dk/media/1.+ord.+diff-ligninger+Del+2/0_4y8hji6m/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_4y8hji6m/format/url/protocol/https
E13/F14,Skema C,2. Ord. Diff-Ligninger Del 1,https://video.dtu.dk/media/2.+Ord.+Diff-Ligninger+Del+1/0_ne0kwt0v/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_ne0kwt0v/format/url/protocol/https
E13/F14,Skema C,2. ord. diff-ligninger Del 2,https://video.dtu.dk/media/2.+ord.+diff-ligninger+Del+2/0_4ijkcewg/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_4ijkcewg/format/url/protocol/https
E13/F14,Skema C,System af diff-ligninger Del 1,https://video.dtu.dk/media/System+af+diff-ligninger+Del+1/0_gldq89m2/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_gldq89m2/format/url/protocol/https
E13/F14,Skema C,System af diff-ligninger Del 2,https://video.dtu.dk/media/System+af+diff-ligninger+Del+2/0_uxy1yxec/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_uxy1yxec/format/url/protocol/https
E13/F14,Skema C,Repetition Del 1,https://video.dtu.dk/media/Repetition+Del+1/0_0kfoi6sn/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_0kfoi6sn/format/url/protocol/https
E13/F14,Skema C,Repetition Del 2,https://video.dtu.dk/media/Repetition+Del+2/0_jchim021/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_jchim021/format/url/protocol/https
E13/F14,Skema C,Taylor 1 variable Del 1,https://video.dtu.dk/media/Taylor+1+variable+Del+1/0_1yrye84n/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_1yrye84n/format/url/protocol/https
E13/F14,Skema C,Taylor 1 variable Del 2,https://video.dtu.dk/media/Taylor+1+variable+Del+2/0_1n8a5igh/200597,https://dchsou11xk84p.cloudfront.net/p/201/sp/20100/playManifest/entryId/0_1n8a5igh/format/url/protocol/https
