t1,t2,name,rating,semester,lecture
3,32,Anette og hendes noter,10,E15_C,System af diff-ligninger Del 2
3,21,Siden I er her,7,E18_B,Komplekse tal på Rektangulær Form - Part1
55,63,Alle ting af interesse,5,E18_B,Komplekse tal på Rektangulær Form - Part1
92,100,Overraskende nok,4,E18_B,Komplekse tal på Rektangulær Form - Part1
125,150,Nord øst,7,E18_B,Komplekse tal på Rektangulær Form - Part1
202,223,Hvad skal vi lave,5,E18_B,Komplekse tal på Rektangulær Form - Part1
377,387,Fjorten,5,E18_B,Komplekse tal på Rektangulær Form - Part1
449,468,Færdighedsregning,5,E18_B,Komplekse tal på Rektangulær Form - Part1
510,521,Brøkregning,4,E18_B,Komplekse tal på Rektangulær Form - Part1
590,596,Holde kæft og snakke om komplekse tal,6,E18_B,Komplekse tal på Rektangulær Form - Part1
610,640,40 i feber og Matematik stream,6,E18_B,Komplekse tal på Rektangulær Form - Part1
645,663,Hvis ens forelæser er en nar,5,E18_B,Komplekse tal på Rektangulær Form - Part1
837,850,Tror på folk har fattet budskabet,7,E18_B,Komplekse tal på Rektangulær Form - Part1
1136,1155,"Pythagoras, ik'?",7,E18_B,Komplekse tal på Rektangulær Form - Part1
1182,1197,Smart måde på Den Lokale Bodega,8,E18_B,Komplekse tal på Rektangulær Form - Part1
1307,1309,Og sådan er det,5,E18_B,Komplekse tal på Rektangulær Form - Part1
1324,1338,Ufatteligt grimt R,4,E18_B,Komplekse tal på Rektangulær Form - Part1
1510,1522,Ikke noget at ryste over,6,E18_B,Komplekse tal på Rektangulær Form - Part1
1545,1575,En syg multiplikation,6,E18_B,Komplekse tal på Rektangulær Form - Part1
1620,1645,En syg multiplikation 2,9,E18_B,Komplekse tal på Rektangulær Form - Part1
1670,1685,Discovery Channel,7,E18_B,Komplekse tal på Rektangulær Form - Part1
1883,1893,En enestående opdagelse,7,E18_B,Komplekse tal på Rektangulær Form - Part1
1950,1955,"So far, so fedt",6,E18_B,Komplekse tal på Rektangulær Form - Part1
1970,1978,En mwhahaha-oplevelse,5,E18_B,Komplekse tal på Rektangulær Form - Part1
2015,2027,Den gange den,5,E18_B,Komplekse tal på Rektangulær Form - Part1
2134,2162,Det eneste man skal huske,9,E18_B,Komplekse tal på Rektangulær Form - Part1
2363,2373,Schwup - så kommer den herop,5,E18_B,Komplekse tal på Rektangulær Form - Part1
2493,2506,Det eneste man skal huske 2,8,E18_B,Komplekse tal på Rektangulær Form - Part1
140,149,Fucke op så mange gange,8,E18_B,Komplekse tal på Rektangulær Form - Part2
179,193,Det eneste man skal huske 3,8,E18_B,Komplekse tal på Rektangulær Form - Part2
205,215,Skal man gå på universitet?,8,E18_B,Komplekse tal på Rektangulær Form - Part2
420,431,Kan man bruge de her ting til noget,7,E18_B,Komplekse tal på Rektangulær Form - Part2
574,583,Færdigt arbejde,6,E18_B,Komplekse tal på Rektangulær Form - Part2
680,694,Spild af RAM,8,E18_B,Komplekse tal på Rektangulær Form - Part2
930,944,"Sådan dividerer man - lidt fedt, ik'?",6,E18_B,Komplekse tal på Rektangulær Form - Part2
1020,1030,Kaste op i lårtykke stråler,8,E18_B,Komplekse tal på Rektangulær Form - Part2
1041,1046,Hvordan i helvede skal man gøre det,8,E18_B,Komplekse tal på Rektangulær Form - Part2
1062,1065,Knækket kridt,5,E18_B,Komplekse tal på Rektangulær Form - Part2
1407,1427,Klasker sig på lårene af fryd - der kom lige en cirkel,8,E18_B,Komplekse tal på Rektangulær Form - Part2
1427,1433,Når man jo nu har den fremme,6,E18_B,Komplekse tal på Rektangulær Form - Part2
1450,1466,Pædagogisk farvet kridt,8,E18_B,Komplekse tal på Rektangulær Form - Part2
1770,1778,Utroligt hvad man kan her i verden uden kridt,8,E18_B,Komplekse tal på Rektangulær Form - Part2
1793,1805,Tag det roligt,7,E18_B,Komplekse tal på Rektangulær Form - Part2
1806,1829,Færdig med de komplekse tal,8,E18_B,Komplekse tal på Rektangulær Form - Part2
