t1	t2	name	rating
00:32	00:40	Skræmmende determinanter	6
03:30	03:41	Kun kvadratiske matricer	5
10:34	10:46	Bum, bum, bum - den er regulær	4
13:40	13:55	Nu bryder helvede løs	7
15:00	15:30	ærterækker	7
15:35	15:50	matricelort	6
15:54	16:05	fremrævet	6
21:08	21:10	Fidusen er x2 - determinant	3
21:40	21:50	Sjov med snitmatricer	5
22:45	22:55	En kompliceret måde at begå selvmord på	7
23:40	23:51	En kommando i Maple - determinant	8
24:59	25:15	Tal der er sjove at gange med	7
26:29	26:42	Plus minus plus	4
28:40	28:52	Følg nullerne	6
30:12	30:24	Pyrus' regel	6
38:05	38:17	Jeg er bare stiv	6
39:35	40:23	Moar	8
40:52	41:07	Moar part 2	8
41:07	41:31	Moar part 3	8
42:37	42:43	En søjle med mange nuller	6
45:00	45:41	Øde ø og regulære matricer	7
46:29	46:47	En eller anden nar	7
47:03	47:10	En times tid	7
48:48	48:52	Det smart	5
50:17	50:35	Det er jo fedt nok	6
50:35	50:56	Flotte formler	6
51:02	51:12	Pyha, det var hårdt	6
