t1	t2	name	rating
00:28	00:59	Snart slut	7
19:08	19:20	Jeg kan ikke tegne det anderledes	5
19:45	20:00	Ortogonaltransformation	4
21:42	21:45	Ingen ko på isen - forelæsning 30	4
25:56	26:03	Hold kæft hvor det kører	5
27:41	27:49	1 plus 2, det er 3	4
27:53	29:19	Løjer in action	6
29:49	30:29	Gamle moster i Jylland og telefonboksen	5
37:51	38:04	Hvad så med den inverse?	5
38:09	38:26	Gamle Moster i Jylland og telefonboksen - 2	6
39:06	39:16	Jeg ved ikke, om det gør en klogere	6
47:35	48:03	Vi ses i Kælderbaren	9
