t1	t2	name	rating
00:03	00:13	Ja, vi siger den er 8	8
00:13	00:19	Hyggedag	6
00:31	00:39	Noget af det er faktisk lidt sjovt	6
06:05	06:21	Ellers bryder helvede løs	7
08:04	08:20	Blblblblblbl	7
11:30	11:33	Fidusen er	2
11:45	11:52	Fidusen er x2	2
12:00	12:15	Hvis og kun hvis	5
13:04	13:07	Ingen ko på isen	4
14:30	14:41	En ny regel	5
16:11	16:45	De to metoder - del 1	6
17:21	17:28	De to metoder - del 2	6
18:09	18:15	Er det ikke rigtigt	5
18:16	18:30	Kædereglen - del 1	5
19:40	19:50	Kædereglen - del 2	5
21:05	21:20	Temperaturen og patienten - del 1	7
21:29	21:44	Temperaturen og patienten - del 2	7
22:21	23:17	Temperaturen og patienten - del 3	7
26:08	26:16	Injektiv	6
41:22	41:30	Jamen mamma	8
43:15	43:36	Sinus er jo en ækel sag - Øde Ø	8
49:20	49:31	Så kan vi skrive	5
53:08	53:10	Er det ikke fantastisk? - dif 1	6
54:51	55:09	En mørk vej	8
55:46	55:52	Mærkelig idé, men lad os gøre det	8
56:46	56:53	Hovsa	5
58:10	58:14	Er det ikke fantastisk? - dif 2	6
58:57	59:25	Jeg gad ikke skrive den	7
