t1	t2	name	rating
00:15	00:27	Så ruller den vaklende videre	4
03:07	05:35	Påskebryg og juleøl	8
10:47	11:14	Hundemad og havregryn	6
17:06	17:19	Jul og vilde gaver	7
19:49	19:56	Det er jo næsten for pænt	6
22:40	23:15	Fordi det er tirsdag	6
23:19	23:30	Hvis det havde været en NxN matrix	6
23:48	23:57	Kunne man forestille sig noget pænere?	5
31:40	31:45	Jeg nulrer mig frem	4
32:54	33:41	Mere ædru end jeg er 	5
35:17	35:26	Av for satan - knækket kridt	5
37:35	37:57	Store teoretiske ting og julestjerner	7
41:35	42:20	Fuck og fingernem	5
