t1	t2	name	rating
03:40	03:53	Så er det som at tage... 	4
03:55	04:02	Hvordan gør man? Den gange den	4
04:50	05:04	Værsågod at spis - del 1	7
05:53	06:11	Værsågod at spis - del 2	7
08:30	09:03	ReducedRowEchelonForm i hovedet	7
10:54	11:01	Taber svampen, Moar	5
12:31	12:53	ReducedRowEchelonForm og et los i røven	7
15:10	16:12	Det er mig der er stiv + rettelse	6
21:37	21:41	Shit, kan I se det?	7
42:55	43:10	Hvad i det hede, hule helevede er sjovt ved det her?	5
43:16	44:02	A i tiende på en øde ø	7
45:30	46:05	Tusinde og firetyve	6
46:23	47:27	Lidt forskellige godter	5
47:57	48:16	Kompakte udregninger	6
48:41	49:00	Slutning på øscenarie	5
