t1	t2	name	rating
00:10	00:50	A little more sound	5
02:20	02:32	Falder i staver	5
03:00	03:10	Vil jeg lige starte her	9
07:16	07:30	Michael tegner	5
10:58	11:02	Omhyggelig med pile	4
26:47	27:08	Nede i Brugsen med vektorer	4
28:55	29:19	Sjov med tal	4
29:23	29:33	Nogenlunde ædru og skal tegne en kasse	5
30:03	30:20	Tre vektorer	4
30:17	31:01	Et godt spørgsmål	6
31:00	31:37	Paralalalpeipidpum	6
31:58	32:05	Errm, ermm, burr	6
32:12	32:55	Tegning af parallelepipedum	7
33:50	34:27	Flyttekasse, mor Karen og svaret på det gode spørgsmål	8
37:52	38:17	Hvis jeg skulle tjekke om de var lineært uafhængige	4
41:08	41:13	Berr, burr, berr	4
49:54	50:25	Rækkeoperationer og nuller	7
51:08	51:20	Gausselimination er røvsygt	5
