t1	t2	name	rating
00:04	00:28	Op på hesten igen	6
06:00	06:07	Det ligner lort	6
07:22	07:39	Blrlbrlb 2	5
14:21	14:28	Grunden til, at det ser svært ud	8
14:42	14:58	Grunden til, at det ser svært ud 2	6
19:28	19:34	Skruet pæren godt fast	5
20:18	20:20	Hold kæft, hvor er det skarpt mand	4
22:29	22:40	Mamma mia	7
35:44	36:02	Klimakset	8
39:41	39:54	am i right	8
47:10	47:28	Stress og røde knopper	5
49:52	49:57	Røv og nøgler, men det kan Maple	6
51:15	51:25	Den Lokale Bodega og omvejen	9
53:41	53:45	Knækket kridt - f21	3
54:22	54:45	Jeg er stiv	6
55:05	55:14	Juleleg og en tur i karusellen	5
55:56	56:24	Vandhullet og hjem i seng	8
