t1	t2	name	rating
00:03	00:11	Fredag i skyttegravene	7
00:30	00:43	ReducedRowEchelonForm	8
01:50	02:02	Vagthunden og Maple	6
11:00	11:15	Når man har trappeformen	8
13:43	14:00	Spørger man sig selv	4
14:05	14:23	Homogene højresider	6
30:39	31:17	Siden 2. klasse	6
31:44	31:49	Mine damer og harer	5
32:13	32:28	R4	7
32:51	33:31	Fjernbetjening og svampe	6
33:54	34:11	Fjernbetjening og svampe 2	5
34:59	35:32	Transponeringer	6
40:00	40:19	Én ligning med én ubekendt	8
40:39	40:53	En halv på Den Lokale	8
41:20	41:40	Der sker noget	7
49:09	49:35	Den motoriske øvelse	10
53:58	54:16	En kommando i Maple	7
