t1	t2	name	rating
02:28	02:33	Nogenlunde ædrueligt ud	4
09:45	10:07	Sværd og lineære restriktioner	5
16:18	16:34	En simpel funktion	5
16:46	17:14	Det er sgu da genialt	5
19:56	20:21	På rigtig gammeldags - 1	5
20:55	21:02	På rigtig gammeldags - 2	5
21:03	21:17	Enhver rask DTU studerende med promille 4	7
24:11	24:25	Dyb ensomhed på sit værelse	6
25:25	25:35	En omvendt frugtskål	6
26:03	26:13	Snitte i en parabelskål	4
48:00	48:39	En god måde at slutte en fredag på	6
56:56	57:11	Brugte jeres tålmodighed	7
