t1	t2	name	rating
05:49	06:28	Algebraens fundementalsætning	6
08:38	08:42	Lidt ækelt	5
10:01	10:23	Hvordan gør man	7
13:27	13:38	Ups - det forstår man ikke	6
14:41	15:01	Tredjegradspolynomium	4
15:32	15:48	Gætte en rod	5
16:24	16:31	De gode gæt	7
18:18	18:23	Nedstigningssætningen	5
19:30	19:34	Knækket kridt - polynomie forelæsning	5
20:59	21:17	Pisse i bukserne	6
21:36	21:40	Er I enige?	5
21:47	21:53	Pas på med kvadratrod	4
23:42	23:54	Det er jo faktisk smukt	5
23:14	23:17	Så nemt som at klø sig i nakken	4
25:42	26:17	Løsninger til 4. gradsligninger? Maple kan godt	6
26:17	26:28	Tavle nr. 12	7
26:37	26:47	Ryste på hovedet	5
28:23	28:31	Bilde jer ind at det er svært	5
28:42	28:49	Sådan noget, ik' os'?	4
30:20	30:27	Og sådan gør man det	5
31:06	31:13	Gøres mere indviklet	5
31:33	32:35	Epsilon-funktioner - kan klippes sjovt	4
33:02	33:23	Gøre hvad fanden den vil	6
37:54	38:09	Ikke noget, der skaffer en venner på Det Lokale Værtshus	7
42:51	43:00	Kæft hvor er det smart	8
45:21	45:27	Hvad vrøvler jeg om	5
46:09	46:20	Fik gjort det lidt mere besværligt	6
47:40	47:45	Var det ikke det, du spurgte om?	6
50:09	50:15	Lad være med at gøre det i hovedet	6
