t1	t2	name	rating
01:35	01:38	Det er rent gymnasiestof	3
03:33	03:48	Kompleks telefonboks	5
05:05	05:12	Tæppe over hovedet	4
11:00	11:07	Enhedsæg	5
16:47	16:55	I skal nok blive trætte af det	4
20:03	20:10	Knap på lommeregneren	4
21:10	21:22	Endnu et enhedsæg	5
24:10	24:20	Lad os sige jeg er lidt retarderet	7
32:30	32:40	Hvis der er fysikere til stede	2
33:10	33:17	Et stort enhedsæg	4
33:26	33:44	Pæneste enhedscirkel i mit liv	5
37:25	37:35	Kunne gøres på en øde ø	4
45:02	45:12	Øde Ø og pind i sandet	6
46:32	46:43	Øde Ø og badeshorts	5
