t1	t2	name	rating
00:05	00:07	Godmorgen	6
00:27	00:34	Det er faktisk ret sjovt, og ikke spor svært	5
00:36	01:08	Maple kan holde forelæsningen	7
01:33	01:51	Stjæle med arme og ben fra Maple ark	6
02:36	02:43	Læs hvad der står	6
02:57	03:23	Kollegaen der synger og danser og savne jer	9
03:33	03:47	And the camera should probably be on me	5
07:10	07:21	Gå i livet og tro, at alle funktioner er uendeligt mange gange differentiable	7
08:29	08:42	Den bløde og lækre funktion	8
08:44	10:22	Løvejagt	10
10:22	10:50	Sinus til en halv	5
10:53	11:05	Løver, løver, løver	4
12:58	13:25	Arbejdsløse analogi	7
19:38	19:50	Vi holder op med at ønske - nu forlanger vi	6
23:37	23:43	Er det ikke fantastisk	5
28:46	28:52	Og så fortsætter festen	5
29:08	29:15	Synd for Taylor	5
30:07	30:11	Og så fortsætter festen 2	4
33:10	33:15	Det her betyder at lægge sammen	5
34:42	34:46	Nu har jeg sagt Taylors formel mange gange	6
38:29	39:00	Det ser meget godt ud	6
40:24	40:32	Vores yndlingsfunktion	5
42:35	42:42	Hvor fantastisk	4
