t1	t2	name	rating
00:38	00:56	Ærgerligt ærgerligt	4
04:27	04:37	Total spade	3
07:30	07:36	Matematik er fantastisk	8
10:38	10:48	Etter og nuller	5
14:31	14:38	Lave rav i den	6
16:08	16:20	Det får I kvalme af	5
16:33	16:46	Et langt eksempel	8
18:28	18:38	Det har jeg lige gjort	7
24:53	25:02	Alle dyrene i indhegningen	5
25:33	25:47	I sidste time	5
28:52	28:59	Kørt over af en tankvogn	8
30:22	30:53	Gisp - men vi har koordinater	6
32:32	32:50	Store Fede Tryllestav anno 2019	5
33:26	33:36	Et eller andet tegn i mellem	8
36:46	37:01	Basen Georg	5
43:40	44:02	Jeg skal ikke lave jeres hjemmeopgaver	6
