n	lecture	link
1	Komplekse tal på Rektangulær Form - Part1 https://video.dtu.dk/media/Komplekse+tal+p%C3%83%C2%A5+rektangul%C3%83%C2%A6r+form+-+Part1/0_mm44gsx9/218754
2	Komplekse tal på Rektangulær Form - Part2 https://video.dtu.dk/media/Komplekse+tal+p%C3%83%C2%A5+rektangul%C3%83%C2%A6r+form+-+Part2/0_j2ci426w/218754
3	Regning med reelle og komplekse tal https://video.dtu.dk/media/Regning+med+reelle+og+komplekse+tal/0_phv8t50f/218754
4	Polære koordinater og eksponentiel form - Part1 https://video.dtu.dk/media/Uge+2%2C+Store+DagA+Pol%C3%83%C2%A6re+koordinater+og+eksponentiel+form+-+Part1/0_o8n6cldu/218754
5	Polære koordinater og eksponentiel form - Part2 https://video.dtu.dk/media/Uge+2%2C+Store+DagA+Pol%C3%83%C2%A6re+koordinater+og+eksponentiel+form+-+Part2/0_ddxiz4zn/218754
6	Polære koordinater og eksponentialfunktionen  https://video.dtu.dk/media/Uge+2%2C+Lille+DagA+Pol%C3%83%C2%A6re+koordinater+og+eksponentialfunktionen/0_z7rjz126/218754 
7	Polynomier - Part1  https://video.dtu.dk/media/Uge+3%2C+Store+DagA+Polynomier+-+Part1/0_sehxkjo1/218754
8	Polynomier - Part2  https://video.dtu.dk/media/Uge+3%2C+Store+DagA+Polynomier+-+Part2/0_8chxoatv/218754
9	Differentiabilitet  https://video.dtu.dk/media/Uge+3%2C+Lille+DagA+Differentiabilitet/0_ii4bbard/218754
10	Taylors formler del 1 https://video.dtu.dk/media/Taylors+formler+del+1/0_ay0d3kk5/218754
11	Taylors formler del 2 https://video.dtu.dk/media/Taylors+formler+del+2/0_k4psuxfj/218754
12	Lineære ligningssystemer del 1  https://video.dtu.dk/media/Uge+5%2C+Hold+BA+Line%C3%A6re+ligningssystemer+Del+1/0_65hndm84/218754
13	Lineære ligningssystemer del 2  https://video.dtu.dk/media/Uge+5%2C+Hold+BA+Line%C3%A6re+ligningssystemer+Del+2/0_iey5769m/218754
14	Matrixalgebra https://video.dtu.dk/media/Uge+5%2C+Lille+DagA+Matrixalgebra/0_9az6ab1o/218754
15	Determinanter og vektor-geometri del 1  https://video.dtu.dk/media/Determinanter+og+vektor-geometri+del+1/0_i4t37mkl/218754
16	Determinanter og vektor-geometri del 2  https://video.dtu.dk/media/Determinanter+og+vektor-geometri+del+2/0_i8239q3r/218754
17	Geometri i planen og rummet https://video.dtu.dk/media/Uge+6%2C+Lille+DagA+Geometri+i+planen+og+rummet/0_o7plvss9/218754
18	Vektorrum del 1 https://video.dtu.dk/media/Vektorrum+Del+1/0_pzaldtm2/218754
19	Vektorrum del 2 https://video.dtu.dk/media/Vektorrum+Del+2/0_ap97d8sc/218754
20	Lineære afbildninger del 1  https://video.dtu.dk/media/Line%C3%83%C2%A6re+afbildninger+del+1/0_w7klsed4/218754
21	Lineære afbildninger del 2  https://video.dtu.dk/media/Line%C3%83%C2%A6re+afbildninger+del+2/0_so4u6f5b/218754
22	Afbildningsmatricer og basisskifte  https://video.dtu.dk/media/Uge+8%2C+Lille+DagA+Afbildningsmatricer+og+basisskifte/0_v2urlnt9/218754
23	Lineære 1. ordens differentialligninger del 1 https://video.dtu.dk/media/Line%C3%83%C2%A6re+1.ordens+differentialligninger+del+1/0_uk166wku/218754
24	Lineære 1. ordens differentialligninger del 2 https://video.dtu.dk/media/Line%C3%83%C2%A6re+1.ordens+differentialligninger+del+2/0_kqi256a4/218754
25	Egenværdier og Egenvektorer del 1 https://video.dtu.dk/media/Egenv%C3%83%C2%A6rdier+og+Egenvektorer+del+1/0_qdf2fvp2/218754
26	Egenværdier og Egenvektorer del 2 https://video.dtu.dk/media/Egenv%C3%83%C2%A6rdier+og+Egenvektorer+del+2/0_omoznc2p/218754
27	Diagonalisering ved similartransformation https://video.dtu.dk/media/Uge+10%2C+Lille+DagA+Diagonalisering+ved+similartransformation/0_acqi932m/218754
28	Symmetriske matricer del 1  https://video.dtu.dk/media/Symmetriske+matricer+del+1/0_o1f42cig/218754
29	Symmetriske matricer del 2  https://video.dtu.dk/media/Symmetriske+matricer+del+2/0_5328z9qt/218754
30	Diagonalisering ved ortogonal substition  https://video.dtu.dk/media/Uge+11%2C+Lille+DagA+Diagonalisering+ved+ortogonal+substition/0_s7x3w2gh/218754
31	Differentialligningssystemer del 1  https://video.dtu.dk/media/Differentialligningssystemer+del+1/0_0awr6vwy/218754
32	Differentialligningssystemer del 2  https://video.dtu.dk/media/Differentialligningssystemer+del+2/0_73opgwpa/218754
33	Andenordens differentialligninger del 1 https://video.dtu.dk/media/Andenordens+differentialligninger+del+1/0_rsg9xdws/218754
