Start	Slut	Navn på klip	Rating	Sidst ændret
01:58	02:03	Havde vi ikke om komplekse tal	4	29/02/2020 18:17:09
03:02	03:04	Fidusen er 1	2	
11:55	12:08	Færdig arbejde	5	
13:01	13:23	funktioner man kan skære sig på	4	
17:29	17:43	I tør sku ikke at sige nej	5	
18:41	18:46	Kan i se det	6	
19:56	20:00	videre	4	
21:14	21:35	Patient som ur	7	
22:10	22:50	Patient som ur 2	7	
22:35	22:42	Det vidste i jo godt i forvejen	7	
29:59	30:10	Vi stikker piben ind	6	
37:55	38:00	Er det mig der vrøvler	5	
38:08	38:14	Enhedsægget	6	
39:01	39:15	I har ingen regneforskrift	7	
42:09	42:13	wow	5	
51:18	51:22	Kæft hvor det gører for de små indianere	9	
52:34	53:00	Kan det være sjovere fredag morgen	8	
