t1	t2	name	rating
00:00	00:07	Hold kæft, hvor er der langt.	5
00:20	00:59	Velkommen	4
01:18	01:39	Lokaler, der er gemt på campus	5
03:42	04:07	Undervisning til kl. 22	7
05:00	05:20	Ugens Test	4
05:32	06:00	14 til eksamen	4
07:49	08:08	Komplekse tal er ikke særligt svært	6
08:28	08:33	Okay, jeg går i gang	5
08:35	09:45	Forurener nettet med Mat 1	5
09:48	10:02	Madonna-koncert 	7
10:55	11:14	Maple og færdig på 10 minutter	4
17:11	17:56	Grimme kvadratrødder	6
20:21	20:27	Fuldstændig banalt	7
24:22	24:33	Syg hjerne 	6
25:59	26:05	Pissespændte	6
26:05	26:15	For sportens skyld og knækket kridt	8
27:23	27:33	Ikke helt simpelt at forklare bedstemor i Jylland	6
32:40	32:50	Fuldstændig hjerneblødt	5
37:45	37:57	Menneskeheden og 1500 år	4
38:44	39:02	Det eneste man skal huske 1	7
42:53	43:08	Det eneste man skal huske 2	7
43:17	43:23	Nu skal man lige passe på	6
43:38	43:47	Det eneste man skal huskke 3	7
44:36	44:50	Det eneste man skkal huske 4	7
45:15	45:25	Vi ses om 5 uger	6
