Start	Slut	Navn på klip	Rating	Sidst ændret
01:32	01:47	Det eneste man skal huske 5	6	03/07/2020 11:54:49
05:34	05:40	Av forhelvede	7	03/07/2020 14:58:27
05:55	06:08	Konjugering og gravhund	6	03/07/2020 14:59:09
13:49	14:05	Tungen lige, der hvor man holder den	6	03/07/2020 15:06:29
14:27	14:32	Det er sgu da magisk	4	03/07/2020 15:07:05
16:01	16:08	Den firkant er gymnasiet	7	09/07/2020 10:11:14
23:20	23:30	Femogtyve	4	09/07/2020 10:17:14
28:02	28:07	Svinet lig nul	5	09/07/2020 10:39:07
34:39	36:00	Øde ø og brøker	7	13/07/2020 13:27:48
38:10	38:30	Herfra til juleaften	5	13/07/2020 13:48:50
39:20	39:30	Det pisser ned	5	13/07/2020 13:49:52
