Start	Slut	Navn på klip	Rating	Sidst ændret
00:00	00:08	Glædelig fredag	8	06/08/2020 20:58:25
00:08	00:26	Glemt af nogen	5	06/08/2020 20:58:39
00:28	00:40	Ikke særligt teoretisk svært	7	06/08/2020 20:59:19
00:43	00:57	På campingtur	5	06/08/2020 21:00:44
03:32	03:42	Højresiden	5	06/08/2020 21:07:25
08:22	08:48	Gausser til fest på Kollegiet	9	06/08/2020 21:15:18
10:11	10:16	Knækket kridt, av	6	06/08/2020 21:16:55
31:08	31:21	Lalalala	5	06/08/2020 21:42:21
45:10	45:36	Finde ud af i min morgenbrandert	6	10/08/2020 13:10:29
45:39	45:51	Kaffekop	5	10/08/2020 13:10:27
46:15	46:25	Kaffekop 2	6	10/08/2020 13:11:39
46:35	46:40	Av	5	10/08/2020 13:13:13
47:59	48:15	Endnu hurtigere i Maple	6	10/08/2020 13:14:40
54:12	55:15	Pong og World of Warcraft	8	10/08/2020 13:22:06
