t1	t2	name	rating
05:43	05:53	Det forstår man ikke et hammerslag af	6
06:01	06:12	Noget der går godt	7
14:06	14:12	Det er meget hemmeligt	4
15:20	15:28	Komplekse far	6
17:10	17:23	maple til det her 	6
17:28	17:38	Det går hurtigere end jeg kan sige det	5
23:53	24:00	skal i bare lukke øjnene 	3
26:52	27:18	Den gang jeg gik i gym	10
27:39	27:48	Fjenden kommer	4
28:20	28:28	Sådan nogle lege man leger i fredagsbaren	7
33:14	33:31	Det kan i ikke lide	8
38:51	39:04	Goddammit	5
44:00	44:10	Så har i også hørt om epsilon funktioner	3
