t1	t2	name	rating
00:00	00:15	Fandenme fredag	8
01:41	02:15	Binome ligninger, og lidt sjovt	6
08:49	09:10	Hovedregning og jaaa	5
14:04	14:11	Det nye dyr i den Zoologiske Have	6
17:54	18:16	1, 2, 3 - ikke så svært at huske	7
18:56	19:12	1, 2, 3 - eliteuniversitet	8
19:37	19:50	Enhedsæg	7
21:25	21:55	En pæn formel	7
30:13	30:30	Det er jo så nemt	6
34:22	34:32	Enhedsægget 2	6
38:24	38:29	Uendeligt mange, høhø	5
46:21	46:36	Navn mangler	5
47:12	47:20	Det er jo skidesmart	8
50:18	50:36	1 er nok en løsning	7
53:23	53:45	Det er jo meget sjovt, haha	8
54:38	58:25	En lang historie - ævle ævle	8
