Start	Slut	Navn på klip	Rating	Sidst ændret
00:00	00:05	Zen moment	7	13/07/2020 20:45:32
01:49	02:06	Indføre en ny måde at skrive dem på	6	13/07/2020 20:47:31
11:30	11:39	Av for helvede og knækket kridt	8	13/07/2020 20:57:04
12:26	12:43	Enhedsægget	8	13/07/2020 20:58:42
16:56	17:14	Et komplekst tal i gryden	6	13/07/2020 21:03:09
20:10	20:17	Enhedsægget 2	8	13/07/2020 21:05:32
24:41	24:58	En begravet hund	7	13/07/2020 21:35:21
28:15	28:38	Husker nede i Aldi	6	13/07/2020 21:38:28
29:04	29:27	Spot on med Gammel Dansk	10	13/07/2020 21:46:17
41:30	41:57	Det er tre tal	7	14/07/2020 15:40:09
