Start	Slut	Navn på klip	Rating	13/07/2020 17:56:34
00:00	00:06	Nu kan de ikke komme ud	5	13/07/2020 17:31:48
00:16	00:23	Godmorgen	7	13/07/2020 17:32:27
00:25	00:35	Ikke noget nyt og godt fra havet	6	13/07/2020 17:33:10
00:34	00:42	Hvis I gik rigtigt sidst	5	13/07/2020 17:33:43
01:28	01:38	Helt overladt til jer selv	5	13/07/2020 17:35:01
01:38	01:44	Okay Michael Pedersen, hold kæft	7	13/07/2020 17:35:20
03:14	03:44	Børnehaveklassen og rockkoncert	8	13/07/2020 17:45:17
04:30	04:40	Ikke specielt originalt	6	13/07/2020 17:46:24
05:50	05:55	Bare fordi jeg er senil	5	13/07/2020 17:47:52
06:06	06:15	Tuborgparanteser	4	13/07/2020 17:48:22
14:21	14:32	Det eneste man skal huske 6	6	13/07/2020 21:10:54
22:26	22:36	Lalletrivielt	7	13/07/2020 18:04:02
36:00	36::13	Hjerneyveret	5	13/07/2020 20:25:32
42:27	42:37	Hvad fanden er nu det for noget	7	13/07/2020 20:31:08
50:35	50:43	Mickey Mouse eksempel	6	13/07/2020 20:38:00
53:27	53:37	Lege lidt med de komplekse tal	5	13/07/2020 20:41:08
54:24	54:35	Tak for i dag	7	13/07/2020 20:42:06
