n	lecture	link
1	Komplekse tal - del 1	https://video.dtu.dk/media/Matematik+1+-+Hold+B+Uge+1+Del+1/0_2pxlej2l/241155
2	Komplekse tal - del 2	https://video.dtu.dk/media/Matematik+1+-+Hold+B+Uge+1+Del+2/0_qwymjols/241155
3	Regning med reelle og komplekse tal	https://video.dtu.dk/media/Matematik+1+-+Hold+B+Uge+1+Lilledag/0_yxe43w3a/241155
4	Polære koordinater og eksponentiel form - del 1	https://video.dtu.dk/media/Matematik+1+-+Hold+B+Uge+2+Del+1/0_mttvbobu/241155
5	Polære koordinater og eksponentiel form - del 2	https://video.dtu.dk/media/Matematik+1+-+Hold+B+Uge+2+Del+2/0_abxn9l96/241155
6	Polære koordinater og eksponentialfunktionen	https://video.dtu.dk/media/Uge+2%2C+Lille+DagA+Pol%C3%A6re+koordinater+og+eksponentialfunktionen%2C+Hold+B/0_scwuv5e0/241155
7	Polynomier - del 1	https://video.dtu.dk/media/Uge+3%2C+Store+DagA+Polynomier+Part+1/0_3wr735nv/241155
8	Polynomier - del 2	https://video.dtu.dk/media/Uge+3%2C+Store+DagA+Polynomier+Part+2/0_xepsf5u7/241155
9	Differentiabilitet	https://video.dtu.dk/media/Matematik+1+-+Uge+3+Hold+B%2C+Lille+DagA+Differentiabilitet/0_s0kqptdz/241155
10	Taylors formler - del 1	https://video.dtu.dk/media/Uge+4%2C+Store+DagA+Taylors+formler+part+1/0_n6dgspz4/241155
11	Taylors formler - del 2	https://video.dtu.dk/media/Uge+4%2C+Store+DagA+Taylors+formler+part+2/0_rerswzzm/241155
12 	Matrixalgebra	https://video.dtu.dk/media/Uge+5%2C+Lille+DagA+Matrixalgebra/0_lpsk31io/241155
