t1	t2	name	rating
04:37	04:47	Overrasker det os?	7
11:39	12:03	Vi kan huske, hvad der står her	5
16:23	16:56	Et af de rigtig store dyr - Gauss' divergenssætning	8
17:14	17:36	En kartoffel i rummet	7
18:05	18:16	Randen er skrællen	7
22:44	23:08	Gausses sætning, mine damer og herrer	8
27:53	28:01	Hold kæft en parametrisering	5
28:43	29:03	Blabla	5
29:04	30:38	Et klamt vektorfelt	4
31:01	31:42	En klam udregning	4
31:42	32:17	Maple i kamp mod røg og damp	9
32:17	33:04	Divergensen redder jer	7
33:48	34:24	Tag den Maple	8
43:41	44:00	Dadaaaaaaa	9
44:41	44:59	Sætte pris på Gauss' divergenssætning	6
