t1	t2	name	rating
00:35	00:59	Archimedes og kuglens rumfang	5
05:29	05:36	Mine damer og herrer, the standard parametrisering of the kugle	7
06:42	07:04	3 ledige tavler - helt forfærdeligt	6
07:08	07:16	Determinanten af den her formidable matrix	6
08:20	09:32	Determinanten af den her formidable matrix 2	7
10:00	10:14	Inden jeg går videre	6
11:53	12:06	Lykken tilsmiler de snaldrede 2	7
12:53	13:05	Ej, det var da ikke så galt	5
16:17	16:27	Kuglen fik vi skudt ned	5
18:03	18:08	Det er jo rent fest det her	7
19:58	20:26	Archimedes og kuglens rumfang 2	4
20:27	20:43	Gabriels horn 1	3
20:49	21:25	Gabriels horn 2	5
21:29	21:36	Gabriels horn 3	3
21:57	23:33	Gabriels horn 4	5
25:57	26:18	Gabriels horn 5	6
31:33	32:40	Gabriels horn 6	4
42:45	45:00	Gabriels horn 7	5
